Meeting / File Date,Name,File Type,Media Purpose,Download Link
2/7/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060207cm.pdf
2/14/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060214cwm.pdf
2/21/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060221cm.pdf
2/28/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060228cwm.pdf
3/7/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060307cm.pdf
3/14/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060314cwm.pdf
3/21/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060321cm.pdf
3/28/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060328cwm.pdf
4/4/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060404cm.pdf
4/11/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060411cwm.pdf
4/18/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060418cm.pdf
4/25/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060425cwm.pdf
5/2/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060502cm.pdf
5/9/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060509cwm.pdf
5/16/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060516cm.pdf
5/23/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060523cwm.pdf
6/6/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060606ccm.pdf
6/13/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060613cwm.pdf
6/20/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060620ccm.pdf
6/27/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060627cwm.pdf
7/11/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060711ccm.pdf
7/25/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060725ccm.pdf
8/1/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060801ccm.pdf
8/22/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060822ccm.pdf
9/5/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060905ccm.pdf
9/12/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060912cwm.pdf
9/12/2006,City Council Special Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060912scm.pdf
9/19/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060919ccm.pdf
9/26/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20060926cwm.pdf
10/3/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061003ccm.pdf
10/10/2006,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061010cwm.pdf
11/14/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061114ccm.pdf
11/28/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061128ccm.pdf
12/5/2006,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061205ccm.pdf
12/5/2006,City Council Legislative Breakfast Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2006/20061205m_legislative_breakfast.pdf
